Model_ID,Model,Dataset,Channel,Random_Seed,Random_Seed_Number,Epoch_Patience,n(total samples),P_actual(total patients),C_actual(total controls),P_actual/n,C_actual/n,C_CC,C_CP,P_CP,P_CC,P_CP/n,C_CC/n,P_CC/n,C_CP/n,Pres_P,Pres_C,Recall_P,Recall_C,F1_P,F1_C,macro_avg_Pres,macro_avg_Recall,macro_avg_F1,Test_Accuracy
VGG16AllPatientsAllChannels,VGG16,AllPatients,AllChannels,A,33,200,95,72,23,0.758,0.242,23,0,72,0,0.758,0.242,0,0,1,1,1,1,1,1,1,1,1,100
VGG16AllPatientsAllChannels,VGG16,AllPatients,AllChannels,B,47,200,95,72,23,0.758,0.242,23,0,71,1,0.747,0.242,0.011,0,1,0.958,0.986,1,0.993,0.979,0.979,0.993,0.986,98.95
VGG16AllPatientsAllChannels,VGG16,AllPatients,AllChannels,C,56,200,95,72,23,0.758,0.242,22,1,72,0,0.758,0.232,0,0.011,0.986,1,1,0.957,0.993,0.978,0.993,0.979,0.986,98.95
VGG16AllPatientsAllChannels,VGG16,AllPatients,AllChannels,D,83,200,95,72,23,0.758,0.242,23,0,71,1,0.747,0.242,0.011,0,1,0.958,0.986,1,0.993,0.979,0.979,0.993,0.986,98.95
RESnet50v2AllPatientsCOX4,RESnet50v2,AllPatients,COX4,A,97,200,28,23,5,0.821,0.179,5,0,23,0,0.821,0.179,0,0,1,1,1,1,1,1,1,1,1,100
RESnet50v2AllPatientsCOX4,RESnet50v2,AllPatients,COX4,B,77,200,28,24,4,0.857,0.143,4,0,23,1,0.821,0.143,0.036,0,1,0.8,0.958,1,0.979,0.889,0.9,0.979,0.934,96.43
RESnet50v2AllPatientsCOX4,RESnet50v2,AllPatients,COX4,C,110,200,28,22,6,0.786,0.214,2,4,22,0,0.786,0.071,0,0.143,0.846,1,1,0.333,0.917,0.5,0.923,0.667,0.709,85.71
RESnet50v2AllPatientsCOX4,RESnet50v2,AllPatients,COX4,D,105,200,28,22,6,0.786,0.214,5,1,20,2,0.714,0.179,0.071,0.036,0.952,0.714,0.909,0.833,0.93,0.769,0.833,0.871,0.85,89.29
RESnet50v2AllPatientsDystrophin,RESnet50v2,AllPatients,Dystrophin,A,77,200,28,24,4,0.857,0.143,4,0,23,1,0.821,0.143,0.036,0,1,0.8,0.958,1,0.979,0.889,0.9,0.979,0.934,96.43
RESnet50v2AllPatientsDystrophin,RESnet50v2,AllPatients,Dystrophin,B,21,200,28,19,9,0.679,0.321,8,1,19,0,0.679,0.286,0,0.036,0.95,1,1,0.889,0.974,0.941,0.975,0.945,0.958,96.43
